url,ok,source,title,podcast,audioUrl,sizeMB,contentType,acceptRanges,fetchMs,headMs,error
https://www.xiaoyuzhoufm.com/episode/6a2be5da43a22a695582ad20,true,xyzcdn-regex,"145. 口述SpaceX开发史：和前高管洪力德聊，马斯克用人观、最大IPO、太空与AI、人类文明扩张前奏？","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/lua5jan_xOpZ99VwXmLshdTC-gSp.m4a,167.9,audio/mp4,true,588,849,""
https://www.xiaoyuzhoufm.com/episode/6a2543dcb30e1571aea20d0b,true,xyzcdn-regex,"144. 对阳萌的4小时访谈：消费电子死与生、第三类公司、端侧模型、产品方法、游戏模式","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/lnjlEQjGjo1TxuPOuvYgmDV7oo8B.m4a,202.5,audio/mp4,true,56,40,""
https://www.xiaoyuzhoufm.com/episode/6a170f747460cabdeb56dabb,true,xyzcdn-regex,"143. 对何小鹏的第二次访谈：更大赌注、人形机器人Iron诞生、那场意外、技术剧变下CEO、GX和缝合怪","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/ljeKstsAfrj-oVTm2bpL92S4nwoc.m4a,81.8,audio/mp4,true,39,59,""
https://www.xiaoyuzhoufm.com/episode/6a15a2cbff7b9a8c0a5b953f,true,xyzcdn-regex,"142. 雨森的创投观察第2集：Harness、下一个字节、2026大机会和Stanley Druckenmiller","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/lg4SPHlAUnrJuULqRaXS_1Gc5ufZ.m4a,128.2,audio/mp4,true,52,38,""
https://www.xiaoyuzhoufm.com/episode/6a09d58b1b7bd502955258ab,true,xyzcdn-regex,"141. Freda的投资札记第2集：Tokenmaxxing、把电机塞进蒸汽机、接力赛变篮球赛、孤独、人的连接","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/lmeczS2JtKzE79rKpVM-RC5yw22M.m4a,77.6,audio/mp4,true,35,36,""
https://www.xiaoyuzhoufm.com/episode/6a00aa051b7bd50295dfe41d,true,xyzcdn-regex,"140. 对姚顺宇的4小时访谈：请允许我小疯一下！在Anthropic和Gemini训模型、技术预测、英雄主义已过去","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/ll7qIcIWWGFSsORHr4yY-UuqAe8h.m4a,213.4,audio/mp4,true,47,33,""
https://www.xiaoyuzhoufm.com/episode/69f3857a5c60a99573fea0c2,true,xyzcdn-regex,"139. 【Agent的综述】和苏煜聊Agent技术史、OpenClaw Moment、边界的消弭和社会的辐射","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/luffrgudEiiGHQxam49tfQci63NO.m4a,127.5,audio/mp4,true,45,32,""
https://www.xiaoyuzhoufm.com/episode/69eae15a1e94ae692107cc50,true,xyzcdn-regex,"138. 对罗福莉3.5小时访谈：AI范式已然巨变！OpenClaw、Agent范式很吃后训练、卡的分配、组织平权","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/lvjthrP5i6nloL64YOJ_JDDRa4WF.m4a,200.4,audio/mp4,true,422,76,""
https://www.xiaoyuzhoufm.com/episode/69e4e6951d989496e7fecc7b,true,xyzcdn-regex,"137. 对洪乐潼的4小时访谈：AI for Math、把数学变成Lean、数学天书中的证明、直觉、被创造与被发现的","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/lha_FAiWxTGet0QMbcOSts3cb5Vb.m4a,244.8,audio/mp4,true,29,50,""
https://www.xiaoyuzhoufm.com/episode/69de68cfb977fb2c47f1ee14,true,xyzcdn-regex,"136. 全球大模型季报第9集：和广密聊，Coding是AGI第二幕、硅谷御三家真相、模型正成为新一代OS","",https://media.xyzcdn.net/626b46ea9cbbf0451cf5a962/lh_CQyoSs_DztmYB5kmBjaPA6W9V.m4a,76.6,audio/mp4,true,32,32,""
